Retailer,Retailer ID,Invoice Date,Region,State,City,Beverage Brand,Days to Deliver,Delivery Company,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales per Unit,Profit per Unit,Delivery Efficiency,Year,Month,Profit Margin,Adj Close
CVS,1128299,1/3/2022,West,Washington,Seattle,Coca-Cola,55,FedEx,0.4,4500,1800,540,0.3,0.4,0.12,32.72727273,2022,1,30,55.39140701
CVS,1128299,1/3/2022,West,Washington,Seattle,Diet Coke,39,DHL,0.5,4500,2250,563,0.25,0.5,0.125111111,57.69230769,2022,1,25.02222222,55.39140701
CVS,1128299,1/3/2022,West,Washington,Seattle,Sprite,50,UPS,0.5,4500,2250,563,0.25,0.5,0.125111111,45,2022,1,25.02222222,55.39140701
CVS,1128299,1/3/2022,West,Washington,Seattle,Fanta,36,FedEx,0.5,3000,1500,450,0.3,0.5,0.15,41.66666667,2022,1,30,55.39140701
CVS,1128299,1/3/2022,West,Washington,Seattle,Powerade,58,FedEx,0.55,2500,1375,344,0.25,0.55,0.1376,23.70689655,2022,1,25.01818182,55.39140701
CVS,1128299,1/3/2022,West,Washington,Seattle,Dasani Water,30,FedEx,0.5,5000,2500,500,0.2,0.5,0.1,83.33333333,2022,1,20,55.39140701
CVS,1128299,1/5/2022,West,Colorado,Denver,Coca-Cola,36,UPS,0.3,4250,1275,446,0.35,0.3,0.104941176,35.41666667,2022,1,34.98039216,56.78319168
CVS,1128299,1/5/2022,West,Colorado,Denver,Diet Coke,30,USPS,0.4,4250,1700,340,0.2,0.4,0.08,56.66666667,2022,1,20,56.78319168
CVS,1128299,1/5/2022,West,Colorado,Denver,Sprite,48,DHL,0.4,4250,1700,595,0.35,0.4,0.14,35.41666667,2022,1,35,56.78319168
CVS,1128299,1/5/2022,West,Colorado,Denver,Fanta,59,UPS,0.4,2750,1100,330,0.3,0.4,0.12,18.6440678,2022,1,30,56.78319168
CVS,1128299,1/5/2022,West,Colorado,Denver,Powerade,57,DHL,0.45,2250,1013,506,0.5,0.450222222,0.224888889,17.77192982,2022,1,49.95064166,56.78319168
CVS,1128299,1/5/2022,West,Colorado,Denver,Dasani Water,42,DHL,0.4,4750,1900,285,0.15,0.4,0.06,45.23809524,2022,1,15,56.78319168
CVS,1128299,1/13/2022,West,New Mexico,Albuquerque,Coca-Cola,55,FedEx,0.3,4500,1350,540,0.4,0.3,0.12,24.54545455,2022,1,40,56.885952
CVS,1128299,1/13/2022,West,New Mexico,Albuquerque,Diet Coke,47,FedEx,0.4,4500,1800,720,0.4,0.4,0.16,38.29787234,2022,1,40,56.885952
CVS,1128299,1/13/2022,West,New Mexico,Albuquerque,Sprite,17,FedEx,0.4,4500,1800,630,0.35,0.4,0.14,105.8823529,2022,1,35,56.885952
CVS,1128299,1/13/2022,West,New Mexico,Albuquerque,Fanta,52,USPS,0.4,3000,1200,480,0.4,0.4,0.16,23.07692308,2022,1,40,56.885952
CVS,1128299,1/13/2022,West,New Mexico,Albuquerque,Powerade,43,UPS,0.45,2500,1125,394,0.35,0.45,0.1576,26.1627907,2022,1,35.02222222,56.885952
CVS,1128299,1/13/2022,West,New Mexico,Albuquerque,Dasani Water,20,USPS,0.4,4500,1800,450,0.25,0.4,0.1,90,2022,1,25,56.885952
CVS,1128299,1/15/2022,West,Nevada,Las Vegas,Coca-Cola,17,DHL,0.35,4500,1575,630,0.4,0.35,0.14,92.64705882,2022,1,40,56.75455446
CVS,1128299,1/15/2022,West,Nevada,Las Vegas,Diet Coke,39,DHL,0.45,4500,2025,506,0.25,0.45,0.112444444,51.92307692,2022,1,24.98765432,56.77801044
